customer_id,customer_name,gender_cd,gender,birth_day,age,postal_cd,address,application_store_cd,application_date,status_cd
CS023213000050,Rinko Nagano,1,Male,1995-12-01,23,212-0005,"Tate at Sachi -ku, Kawasaki City, Kanagawa Prefecture",S14023,20150625,0-00000000-0
CS019114000002,Mami Morii,1,Male,2004-12-17,14,171-0041,"Chikawa, Toshima -ku, Tokyo",S13019,20150507,0-00000000-0
CS019415000084,Honzan Mami,1,Male,1971-12-20,47,176-0003,"Hazawa, Nerima -ku, Tokyo",S13019,20151109,C-20101012-E
CS026513000087,Natsuki Kikuchi,9,Unknown,1961-09-24,57,251-0047,"Tsujido, Fujisawa City, Kanagawa Prefecture",S14026,20150218,7-20100613-A
CS039602000013,Yosuke Kawamura,0,Female,1952-06-24,66,168-0073,"Shimotaka well, Suginami -ku, Tokyo",S13039,20150308,0-00000000-0
CS017313000004,Reina Numata,1,Male,1986-11-12,32,166-0011,"Umisato, Suginami -ku, Tokyo",S13017,20150220,0-00000000-0
CS026615000130,Rie Matsunaga,1,Male,1951-12-19,67,251-0043,"Tsujido Motomachi, Fujisawa City, Kanagawa Prefecture",S14026,20150128,8-20090727-5
CS007714000023,Ema Nishikawa,1,Male,1942-09-26,76,285-0854,"Kamiza, Sakura City, Chiba Prefecture",S12007,20151123,0-00000000-0
CS027613000042,Hiroko Ishiguro,9,Unknown,1950-11-06,68,251-0052,"Fujisawa, Fujisawa City, Kanagawa Prefecture",S14027,20151121,0-00000000-0
CS023313000214,Old rice flower,1,Male,1985-01-23,34,212-0016,"Minamikai -cho, Sachi -ku, Kawasaki -shi, Kanagawa",S14023,20180129,0-00000000-0
CS019214000008,Reina Okuno,1,Male,1991-07-01,27,171-0044,"Chihaya, Toshima -ku, Tokyo",S13019,20150102,D-20100714-A
CS002515000256,Yoko Kikuchi,1,Male,1964-10-06,54,185-0013,"Kokubunji -shi, Tokyo Nishiki Kokubo",S13002,20161201,A-20100303-7
CS020402000018,Miyaji Meida,0,Female,1977-03-24,42,174-0072,"Minamitoshidai, Itabashi -ku, Tokyo",S13020,20150420,0-00000000-0
CS034612000049,Chinatsu Miki,1,Male,1950-07-01,68,213-0022,"Thousands of Takatsu -ku, Kawasaki City, Kanagawa Prefecture",S14034,20150711,1-20081230-4
CS019504000003,Hiro Sugawara,0,Female,1961-01-22,58,176-0004,"Kotake -cho, Nerima -ku, Tokyo",S13019,20151030,0-00000000-0
CS003303000038,Hideki Shiina,0,Female,1981-03-14,38,201-0001,"Nishinogawa, Komae City, Tokyo",S13003,20160522,0-00000000-0
CS005314000119,Misato Ida,1,Male,1984-08-25,34,167-0031,"Motomonuma, Suginami -ku, Tokyo",S13005,20170610,0-00000000-0
CS005713000021,Ruria Noda,1,Male,1943-10-03,75,167-0022,"Suginami -ku, Tokyo Shimoigusa",S13005,20150317,0-00000000-0
CS006513000109,Rinako Kinoshita,1,Male,1967-07-23,51,224-0053,"Ikebe -cho, Tsuzuki -ku, Yokohama -shi, Kanagawa",S14006,20150505,9-20090329-8
CS006303000008,Izumi alone,0,Female,1985-07-20,33,224-0006,"Eda Higashi, Tsuzuki -ku, Yokohama City, Kanagawa Prefecture",S14006,20150409,0-00000000-0
CS017315000023,Reina Uchino,1,Male,1987-02-21,32,166-0015,"Narita Higashi, Suginami -ku, Tokyo",S13017,20141209,C-20090424-5
CS002511000067,Yu Kishibe,1,Male,1960-01-22,59,187-0043,"Gakuen -shi, Kodaira, Tokyo",S13002,20160507,0-00000000-0
CS004512000443,Hiro Kameda,9,Unknown,1967-06-15,51,179-0074,"Kasuga -cho, Nerima -ku, Tokyo",S13004,20170405,2-20100801-1
CS029603000027,Masayoshi Tamura,0,Female,1948-11-01,70,279-0011,"Mihama, Urayasu City, Chiba Prefecture",S12029,20150128,0-00000000-0
CS002415000437,Saki Otsuka,1,Male,1970-04-07,48,184-0015,"Nukii Kita -cho, Koganei -shi, Tokyo",S13002,20160219,2-20100217-1
CS037412000196,Accompaniment,1,Male,1975-05-17,43,136-0071,"Kameido, Koto -ku, Tokyo",S13037,20150115,4-20090322-4
CS019412000220,Carnivorous,1,Male,1975-03-08,44,174-0062,"Fujimi -cho, Itabashi -ku, Tokyo",S13019,20151201,0-00000000-0
CS030415000034,Tamaki Nanko,1,Male,1969-01-28,50,272-0025,"Owada, Ichikawa City, Chiba Prefecture",S12030,20150501,F-20101020-F
CS004614000135,Reina Otani,1,Male,1951-08-11,67,166-0001,"Asaya Kita, Suginami -ku, Tokyo",S13004,20160110,0-00000000-0
CS025214000016,Furukawa Erika,1,Male,1995-10-06,23,245-0018,"Kamiiida -cho, Izumi -ku, Yokohama -shi, Kanagawa",S14025,20150825,D-20101029-F
CS003615000385,Kyoko Uemura,1,Male,1951-02-25,68,201-0001,"Nishinogawa, Komae City, Tokyo",S13003,20170310,0-00000000-0
CS006413000104,Sudo flower,1,Male,1970-03-01,49,224-0006,"Eda Higashi, Tsuzuki -ku, Yokohama City, Kanagawa Prefecture",S14006,20151018,3-20080519-2
CS029615000022,Asami Ogata,1,Male,1949-11-06,69,279-0041,"Horie, Urayasu City, Chiba Prefecture",S12029,20150728,0-00000000-0
CS004603000051,Taro Matsutani,0,Female,1952-12-11,66,165-0032,"Saginomiya, Nakano -ku, Tokyo",S13004,20161014,0-00000000-0
CS003314000081,Takakura sandbags,1,Male,1984-06-27,34,201-0012,"Komae -shi, Tokyo Ikuwaki",S13003,20150324,6-20100917-7
CS015613000137,Takamiko Ishikawa,1,Male,1951-01-28,68,136-0073,"Kitasuna, Koto -ku, Tokyo",S13015,20150620,0-00000000-0
CS039315000008,Michiko Kasahara,1,Male,1980-01-16,39,166-0004,"Asaya Minami, Suginami -ku, Tokyo",S13039,20150327,8-20081025-6
CS022512000112,Miki Oya,1,Male,1959-12-18,59,240-0111,"Ichiro Hayama -cho, Miura -gun, Kanagawa Prefecture",S14022,20150310,0-00000000-0
CS031615000133,Kyoko Mizutani,1,Male,1953-05-22,65,151-0064,"Uehara, Shibuya -ku, Tokyo",S13031,20150118,0-00000000-0
CS026612000001,Nao Umemura,1,Male,1953-03-11,66,253-0012,"Owada, Chigasaki City, Kanagawa Prefecture",S14026,20150705,0-00000000-0
CS031513000075,Ikuko Yoneya,1,Male,1960-03-23,59,164-0014,"Minamidai, Nakano -ku, Tokyo",S13031,20150720,9-20100823-A
CS040514000025,Ryo Kageyama,1,Male,1966-11-28,52,226-0028,"Ibukino, Midori -ku, Yokohama City, Kanagawa Prefecture",S14040,20150722,8-20091205-9
CS001315000496,Yu Hosaka,1,Male,1980-08-17,38,146-0095,"Tama River, Ota -ku, Tokyo",S13001,20180129,0-00000000-0
CS010713000056,Horii Asayang,1,Male,1942-09-07,76,221-0065,"Hakuraku Kanagawa -ku, Yokohama City, Kanagawa Prefecture",S14010,20150616,0-00000000-0
CS034212000041,Mayuko Asada,1,Male,1988-11-25,30,213-0013,"Last Director of Takatsu -ku, Kawasaki City, Kanagawa Prefecture",S14034,20150927,6-20100419-6
CS025612000110,Hiroko Teranishi,1,Male,1950-08-31,68,242-0024,"Fukuda, Yamato City, Kanagawa Prefecture",S14025,20180323,0-00000000-0
CS003401000014,Hiromasa Nukijiya,0,Female,1975-10-06,43,206-0812,"Yanoguchi, Inagi City, Tokyo",S13003,20160322,0-00000000-0
CS015512000161,Fukushi Reina,1,Male,1960-11-25,58,136-0074,"Higashi Sands, Koto -ku, Tokyo",S13015,20151215,7-20091206-3
CS011413000136,Chiemi Ichikawa,1,Male,1974-02-08,45,223-0051,"Minowa -cho, Kita -ku, Yokohama -shi, Kanagawa",S14011,20150723,0-00000000-0
CS006315000046,Haruka Oguchi,1,Male,1985-12-31,33,224-0064,"Hiradai, Tsuzuki -ku, Yokohama City, Kanagawa Prefecture",S14006,20140424,9-20080920-8
CS024414000120,Erika Sekiguchi,1,Male,1974-06-20,44,214-0034,"Mita, Tama -ku, Kawasaki City, Kanagawa Prefecture",S14024,20150901,9-20100818-D
CS005314000076,Sachie Otsuki,1,Male,1980-10-01,38,166-0001,"Asaya Kita, Suginami -ku, Tokyo",S13005,20150430,5-20090915-1
CS010712000050,Nana Okura,1,Male,1939-10-31,79,223-0057,"Shinhamachi, Kohoku -ku, Yokohama -shi, Kanagawa",S14010,20150922,0-00000000-0
CS023213000021,Rio Moriguchi,1,Male,1985-08-05,33,158-0083,"Okusawa, Setagaya -ku, Tokyo",S14023,20150302,0-00000000-0
CS029505000003,Sogo Sugawa,0,Female,1966-01-29,53,279-0041,"Horie, Urayasu City, Chiba Prefecture",S12029,20151121,1-20080701-5
CS032611000019,Nanko Okamoto,1,Male,1972-08-14,46,213-0013,"Last Director of Takatsu -ku, Kawasaki City, Kanagawa Prefecture",S13032,20150413,0-00000000-0
CS009313000179,Nana Yoneya,1,Male,1987-07-01,31,158-0097,"Yoga, Setagaya -ku, Tokyo",S13009,20151017,0-00000000-0
CS004513000323,Tomosaka Erica,1,Male,1959-08-13,59,165-0027,"Nakano -ku, Tokyo Nomo",S13004,20161206,9-20091005-8
CS021115000004,Hikaru Kurata,1,Male,2003-01-19,16,259-1111,"Nishi -Tomioka, Isehara City, Kanagawa Prefecture",S14021,20150212,E-20100925-E
CS038503000012,Aoki Choi,0,Female,1961-08-31,57,279-0041,"Horie, Urayasu City, Chiba Prefecture",S13038,20150125,0-00000000-0
CS027614000029,Reiko Yamada,1,Male,1955-03-25,64,251-0016,"Maitreji Temple, Fujisawa City, Kanagawa Prefecture",S14027,20150212,5-20100704-6
CS005513000137,Riho Kodaira,1,Male,1967-04-26,51,165-0033,"Wakamiya, Nakano -ku, Tokyo",S13005,20150117,2-20100614-2
CS020311000044,Onoda Shibori,1,Male,1983-06-13,35,174-0074,"Higashishinmachi, Itabashi -ku, Tokyo",S13020,20151224,2-20080212-3
CS001312000118,Natsuki Honda,1,Male,1982-08-11,36,210-0834,"Oshima, Kawasaki -ku, Kawasaki City, Kanagawa Prefecture",S13001,20150709,0-00000000-0
CS039415000073,Ryoko Toda,1,Male,1977-06-12,41,167-0051,"Ogikubo, Suginami -ku, Tokyo",S13039,20150322,F-20100427-E
CS004511000031,Risa Tsutsumi,1,Male,1967-10-13,51,179-0075,"Takamatsu, Nerima -ku, Tokyo",S13004,20150911,0-00000000-0
CS003712000143,Yoko Hamamoto,1,Male,1944-03-09,75,182-0006,"Nishitsukijigaoka, Chofu City, Tokyo",S13003,20161204,0-00000000-0
CS028311000030,Reina Kasai,1,Male,1982-01-07,37,245-0016,"Izumi -cho, Izumi -ku, Yokohama -shi, Kanagawa",S14028,20150608,0-00000000-0
CS034503000014,Manami Igarashi,9,Unknown,1967-02-18,52,216-0001,"Nogawa, Miyamae -ku, Kawasaki City, Kanagawa Prefecture",S14034,20151012,0-00000000-0
CS015413000198,Yuki Yamazaki,1,Male,1977-03-15,42,135-0016,"Toyo, Koto -ku, Tokyo",S13015,20150516,0-00000000-0
CS017615000060,Michiko Kawachi,1,Male,1957-02-27,62,165-0027,"Nakano -ku, Tokyo Nomo",S13017,20150604,7-20090831-2
CS037215000046,Asami Shimadzu,1,Male,1996-04-20,22,136-0072,"Oshima, Koto -ku, Tokyo",S13037,20150822,F-20100914-E
CS007315000123,Ruria Kaneda,1,Male,1979-11-17,39,285-0855,"Ino, Sakura City, Chiba Prefecture",S12007,20150419,0-00000000-0
CS007412000103,Maho Mikami,1,Male,1972-09-24,46,276-0023,"Katsutadai, Yachiyo City, Chiba Prefecture",S12007,20150429,0-00000000-0
CS029512000159,Ayako Shibayama,1,Male,1963-04-03,55,134-0003,"Harue -cho, Edogawa -ku, Tokyo",S12029,20150713,0-00000000-0
CS019715000017,Mika Shibata,1,Male,1946-01-07,73,173-0037,"Komorine, Itabashi -ku, Tokyo",S13019,20150830,0-00000000-0
CS035513000081,Multiply,1,Male,1964-04-03,54,154-0015,"Sakurashinmachi, Setagaya -ku, Tokyo",S13035,20150605,6-20090309-8
CS015512000016,Kyoko Mizukami,1,Male,1963-02-14,56,136-0072,"Oshima, Koto -ku, Tokyo",S13015,20150509,0-00000000-0
CS001213000018,Hitomi Ichikawa,1,Male,1996-01-16,23,144-0055,"Nakarokugo, Ota -ku, Tokyo",S13001,20150721,1-20080519-2
CS009413000064,Hiroko Koyama,1,Male,1974-12-25,44,154-0016,"Setagaya -ku, Tokyo string roll",S13009,20150512,3-20080414-5
CS031512000121,Harumi Fukaya,1,Male,1959-03-01,60,164-0014,"Minamidai, Nakano -ku, Tokyo",S13031,20150921,2-20081216-5
CS033412000074,Mami Umemoto,1,Male,1975-03-18,44,245-0002,"Midorien, Izumi -ku, Yokohama -shi, Kanagawa",S14033,20141222,2-20081013-5
CS002611000104,Okayama Kyou,1,Male,1954-05-17,64,185-0035,"Nishimachi, Kokubunji -shi, Tokyo",S13002,20170601,0-00000000-0
CS037413000120,Shun Nagano,1,Male,1976-02-28,43,136-0073,"Kitasuna, Koto -ku, Tokyo",S13037,20150423,4-20080915-6
CS004715000195,Rinako Yamada,1,Male,1947-05-16,71,165-0033,"Wakamiya, Nakano -ku, Tokyo",S13004,20161218,0-00000000-0
CS007813000023,Airi Mizoguchi,1,Male,1932-06-28,86,285-0843,"Nakashizu, Sakura City, Chiba Prefecture",S12007,20150501,0-00000000-0
CS002815000035,Ema Kawano,1,Male,1932-04-17,86,185-0024,"Izumi -cho, Kokubunji, Tokyo",S13002,20161227,3-20090908-2
CS028715000034,Mayuko Asano,1,Male,1943-12-08,75,246-0031,"Seya -ku, Yokohama -shi, Kanagawa",S14028,20151114,0-00000000-0
CS016615000090,Toshiaki Hase,9,Unknown,1951-10-22,67,184-0013,"Maehara -cho, Koganei -shi, Tokyo",S13016,20150717,6-20100801-7
CS012813000024,Nanami Tazaki,1,Male,1934-10-27,84,231-0826,"Honzaki Arai, Naka -ku, Yokohama -shi, Kanagawa",S14012,20150130,0-00000000-0
CS039813000020,Toshima light,1,Male,1932-03-29,87,167-0034,"Momoi, Suginami -ku, Tokyo",S13039,20150630,0-00000000-0
CS004112000011,Miyu Tamaki,1,Male,2007-01-03,12,161-0031,"Nishimoho, Shinjuku -ku, Tokyo",S13004,20160615,0-00000000-0
CS006803000004,Kubota Mekei,0,Female,1933-06-17,85,224-0056,"Kawadai, Tsuzuki -ku, Yokohama -shi, Kanagawa",S14006,20150619,7-20090504-8
CS023515000237,Miyahara Bunyo,9,Unknown,1961-01-08,58,210-0801,"Suzuki -cho, Kawasaki -ku, Kawasaki -shi, Kanagawa",S14023,20141129,7-20100821-C
CS039302000007,Kaoru Fujisaki,0,Female,1979-01-14,40,166-0001,"Asaya Kita, Suginami -ku, Tokyo",S13039,20150701,0-00000000-0
CS025403000039,Kawase,0,Female,1976-03-11,43,242-0024,"Fukuda, Yamato City, Kanagawa Prefecture",S14025,20141025,0-00000000-0
CS028614000036,Yoko Kurita,1,Male,1976-06-27,42,179-0075,"Takamatsu, Nerima -ku, Tokyo",S14028,20150422,3-20091130-5
CS014502000054,Beyond,0,Female,1962-11-09,56,264-0032,"Mitsuwadai, Wakaba -ku, Chiba City, Chiba Prefecture",S12014,20150427,0-00000000-0
CS012411000020,Kanako Okuno,1,Male,1976-10-17,42,231-0065,"Miyagawa -cho, Naka -ku, Yokohama -shi, Kanagawa",S14012,20151025,7-20100721-A
CS033515000117,Aya Tamayama,1,Male,1962-11-24,56,246-0031,"Seya -ku, Yokohama -shi, Kanagawa",S14033,20150622,D-20100207-F
CS005515000368,Megumi Umezawa,1,Male,1963-06-23,55,165-0031,"Kami -Saginomiya, Nakano -ku, Tokyo",S13005,20170827,5-20101018-2
CS010404000005,Teppei Abe,0,Female,1972-10-01,46,222-0026,"Shinohara -cho, Kohoku -ku, Yokohama -shi, Kanagawa",S14010,20150306,0-00000000-0
CS027313000083,Accompaniment,1,Male,1982-07-26,36,251-0016,"Maitreji Temple, Fujisawa City, Kanagawa Prefecture",S14027,20150405,0-00000000-0
CS025412000116,Matsuda Somegoro,9,Unknown,1975-09-06,43,242-0014,"Kamewada, Yamato City, Kanagawa Prefecture",S14025,20150909,2-20090223-4
CS003215000035,Ogasawara Nanomo,1,Male,1996-10-24,22,201-0012,"Komae -shi, Tokyo Ikuwaki",S13003,20150323,A-20101008-B
CS030412000165,Reina Ozaki,1,Male,1970-02-24,49,270-2222,"Takatsuka Nitta, Matsudo City, Chiba Prefecture",S12030,20151219,0-00000000-0
CS001515000173,Bunsei Bunbun,1,Male,1960-03-01,59,144-0035,"Minami Kamata, Ota -ku, Tokyo",S13001,20150513,5-20100920-8
CS012313000033,Saki Seki,9,Unknown,1984-08-06,34,231-0838,"Mameguchiidai, Naka -ku, Yokohama -shi, Kanagawa",S14012,20150504,0-00000000-0
CS033415000003,Car Kaoru,1,Male,1971-10-26,47,246-0025,"Akuwanishi, Seya -ku, Yokohama -shi, Kanagawa",S14033,20150626,8-20100409-9
CS025412000184,Yo Kusaka Yo Kusaka,1,Male,1969-07-22,49,242-0014,"Kamewada, Yamato City, Kanagawa Prefecture",S14025,20150601,0-00000000-0
CS017712000055,Risa Ogata,1,Male,1941-03-13,78,166-0000,"Suginami-ku, Tokyo",S13017,20151226,0-00000000-0
CS012415000115,First generation of Noguchi,1,Male,1975-01-13,44,231-0831,"Yaguchi Dodai, Naka -ku, Yokohama -shi, Kanagawa",S14012,20160219,C-20100224-A
CS002715000296,Nao Koyanagi,1,Male,1939-08-09,79,185-0011,"Honda, Kokubunji, Tokyo",S13002,20180629,0-00000000-0
CS023602000043,Kazuyuki Toda,0,Female,1949-01-31,70,212-0054,"Kokura, Sachi -ku, Kawasaki City, Kanagawa Prefecture",S14023,20170114,0-00000000-0
CS011615000148,Mina Itagaki,1,Male,1950-11-24,68,223-0053,"Tsunashima Nishi, Kohoku -ku, Yokohama -shi, Kanagawa",S14011,20160917,0-00000000-0
CS003611000081,Reina Kawachi,1,Male,1954-11-26,64,214-0038,"Ikuta, Tama -ku, Kawasaki City, Kanagawa Prefecture",S13003,20170611,0-00000000-0
CS005515000082,Mikako Yoshii,1,Male,1961-01-24,58,165-0032,"Saginomiya, Nakano -ku, Tokyo",S13005,20151018,C-20091219-C
CS022413000090,Noriko Shigematsu,1,Male,1970-06-04,48,249-0005,"Sakurayama, Zushi City, Kanagawa Prefecture",S14022,20150909,0-00000000-0
CS037312000044,Kyoko Ban,1,Male,1983-04-21,35,136-0072,"Oshima, Koto -ku, Tokyo",S13037,20150529,0-00000000-0
CS023312000142,Aiko Oyama,1,Male,1979-02-14,40,212-0054,"Kokura, Sachi -ku, Kawasaki City, Kanagawa Prefecture",S14023,20150117,0-00000000-0
CS022415000100,Misako Sunagawa,1,Male,1976-07-10,42,249-0007,"Shinjuku, Zushi City, Kanagawa Prefecture",S14022,20150323,B-20091009-9
CS012314000114,Sachiko Ashida,1,Male,1986-05-12,32,231-0822,"Honmokimotocho, Naka -ku, Yokohama -shi, Kanagawa",S14012,20180828,0-00000000-0
CS031404000015,Yusuke Iwanaga,0,Female,1971-04-06,47,151-0071,"Honmachi, Shibuya -ku, Tokyo",S13031,20160205,0-00000000-0
CS002513000652,Imanishi Kou,9,Unknown,1967-07-05,51,185-0013,"Kokubunji -shi, Tokyo Nishiki Kokubo",S13002,20170625,0-00000000-0
CS038314000035,Kyoko Okunuki,1,Male,1979-04-09,39,134-0084,"Higashi Kasai, Edogawa -ku, Tokyo",S13038,20151015,A-20100917-9
CS001412000555,Sachie Nishimoto,1,Male,1972-12-09,46,212-0004,"Koitai -cho, Sachi -ku, Kawasaki -shi, Kanagawa",S13001,20170927,0-00000000-0
CS023303000011,Masashi Kikuta,0,Female,1985-12-30,33,212-0015,"Kawasaki -shi, Kanagawa, Ko -ku, Yanagi -cho",S14023,20151219,0-00000000-0
CS002312000208,Yuu Sudo,1,Male,1980-10-12,38,185-0013,"Kokubunji -shi, Tokyo Nishiki Kokubo",S13002,20160614,0-00000000-0
CS008615000055,Ninomiya Kou,1,Male,1953-06-15,65,157-0074,"Okura, Setagaya -ku, Tokyo",S13008,20150623,5-20100531-8
CS004712000127,Eiichi Nakahara,0,Female,1964-05-06,54,272-0035,"Nitta, Ichikawa City, Chiba Prefecture",S13004,20170526,0-00000000-0
CS004513000232,Reiko Fujishima,1,Male,1966-09-08,52,167-0022,"Suginami -ku, Tokyo Shimoigusa",S13004,20161226,0-00000000-0
CS032312000099,Kyoko Kawano,1,Male,1987-06-05,31,210-0807,"Kawasaki -ku, Kawasaki City, Kanagawa Prefecture",S13032,20150605,0-00000000-0
CS046311000003,Kyoko Nakata,1,Male,1984-02-24,35,223-0066,"Takada Nishi, Kohoku -ku, Yokohama -shi, Kanagawa",S14046,20170313,2-20090922-4
CS040612000031,Miho Maeda,1,Male,1956-10-24,62,226-0014,"Taitamura -cho, Midori -ku, Yokohama -shi, Kanagawa",S14040,20150323,0-00000000-0
CS017413000143,Maruyama Saki,1,Male,1973-09-03,45,166-0001,"Asaya Kita, Suginami -ku, Tokyo",S13017,20151120,2-20090517-3
CS003402000183,Konno Subaru,0,Female,1972-03-01,47,201-0016,"Komai -cho, Komae City, Tokyo",S13003,20180911,0-00000000-0
